model,model_type,MAE,RMSE,R2,evaluation_samples,common_MAE,common_RMSE,common_R2,common_evaluation_samples,is_best_model
Persistence Baseline,baseline,10.536313684633315,14.592173091008611,-1.8031097303560006,19,10.536313684633315,14.592173091008611,-1.8031097303560006,19.0,False
7-Day Rolling Mean Baseline,baseline,9.640320991806835,13.0913427833716,-0.7068789247686649,24,7.841338634685979,11.718049948224806,-0.807635423848877,19.0,False
Ridge Regression,model,16.213215044950466,21.128538382355,-2.367096349997811,26,16.26305811814358,21.43085258098827,-5.046151866651219,19.0,False
RandomForestRegressor,model,9.456136195942177,12.16070506461714,-0.11540900337801396,26,7.998607597385957,10.730858534268952,-0.5158949038442431,19.0,True
HistGradientBoostingRegressor,model,11.636373882323714,13.852808363367133,-0.447412394251008,26,10.860645116295991,12.595136552533436,-1.088362636379284,19.0,False
